구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2022년04월19일,2188.22,1967.79,1899.54,1427.67
2022년04월20일,2188.36,1967.30,1900.24,1428.07
2022년04월21일,2187.84,1966.82,1900.70,1428.74
2022년04월22일,2188.06,1966.64,1901.65,1429.41
2022년04월23일,2188.18,1966.50,1902.33,1430.17
2022년04월24일,2188.11,1966.66,1902.69,1430.42
2022년04월25일,2189.75,1967.62,1906.16,1430.92
2022년04월26일,2190.88,1968.20,1908.09,1431.65
2022년04월27일,2192.19,1968.74,1909.86,1432.37
2022년04월28일,2192.74,1969.90,1911.81,1432.88
2022년04월29일,2194.31,1971.64,1915.25,1433.83
2022년04월30일,2196.60,1974.77,1920.52,1434.85
2022년05월01일,2158.03,1954.80,1908.76,1436.56
2022년05월02일,2151.88,1944.63,1904.81,1436.32
2022년05월03일,2145.89,1937.99,1903.93,1436.99
2022년05월04일,2144.83,1934.47,1906.66,1439.43
2022년05월05일,2144.06,1932.20,1910.34,1442.57
2022년05월06일,2144.13,1931.69,1914.20,1445.02
2022년05월07일,2146.05,1933.32,1920.01,1448.39
2022년05월08일,2150.45,1935.93,1924.70,1450.59
2022년05월09일,2153.33,1938.49,1931.32,1453.56
2022년05월10일,2164.20,1943.79,1941.46,1458.66
2022년05월11일,2165.94,1946.11,1947.59,1463.02
2022년05월12일,2169.90,1948.69,1953.29,1466.58
2022년05월13일,2173.97,1951.70,1959.24,1470.84
2022년05월14일,2176.16,1954.70,1964.02,1475.82
2022년05월15일,2176.35,1956.42,1966.48,1478.91
2022년05월16일,2177.84,1958.73,1970.51,1481.83
2022년05월17일,2183.42,1963.26,1976.49,1485.38
2022년05월18일,2185.95,1967.33,1981.61,1489.18
2022년05월19일,2191.74,1972.11,1986.76,1493.57
2022년05월20일,2196.10,1977.39,1990.99,1497.51
2022년05월21일,2199.98,1982.53,1994.32,1501.74
2022년05월22일,2201.58,1985.07,1995.79,1503.84
2022년05월23일,2204.90,1988.77,1998.38,1506.28
2022년05월24일,2212.70,1994.77,2000.93,1509.35
2022년05월25일,2216.69,1998.59,2002.68,1511.94
2022년05월26일,2219.43,2001.53,2003.85,1514.37
2022년05월27일,2222.99,2004.55,2005.14,1516.57
2022년05월28일,2225.81,2007.62,2005.62,1519.67
2022년05월29일,2226.23,2008.76,2006.09,1521.08
2022년05월30일,2227.99,2010.45,2007.13,1522.68
2022년05월31일,2231.61,2012.69,2008.23,1524.97
2022년06월01일,2233.25,2015.37,2009.47,1527.24
2022년06월02일,2236.09,2017.79,2011.18,1529.50
2022년06월03일,2238.96,2020.84,2013.43,1531.77
2022년06월04일,2244.33,2026.21,2018.44,1536.01
2022년06월05일,2246.36,2029.29,2021.12,1538.67
2022년06월06일,2248.54,2032.04,2023.85,1541.27
2022년06월07일,2252.58,2035.74,2027.96,1544.80
2022년06월08일,2259.26,2042.04,2036.52,1551.81
2022년06월09일,2265.28,2048.47,2044.40,1558.67
2022년06월10일,2273.99,2056.79,2054.37,1565.61
2022년06월11일,2280.61,2064.59,2063.53,1573.25
2022년06월12일,2283.01,2068.60,2067.99,1577.10
2022년06월13일,2288.61,2074.30,2074.89,1582.52
2022년06월14일,2294.76,2081.98,2083.67,1591.51
2022년06월15일,2299.64,2087.61,2090.62,1600.04
2022년06월16일,2303.65,2092.20,2096.10,1607.09
2022년06월17일,2310.90,2098.45,2104.20,1615.45
2022년06월18일,2315.41,2104.63,2112.50,1622.42
2022년06월19일,2317.48,2107.53,2115.96,1627.12
2022년06월20일,2320.15,2111.28,2120.85,1632.33
2022년06월21일,2326.73,2116.35,2127.58,1639.08
2022년06월22일,2332.33,2120.14,2133.25,1645.71
2022년06월23일,2336.45,2123.61,2138.20,1651.12
2022년06월24일,2342.40,2126.71,2143.13,1655.96
2022년06월25일,2344.74,2129.47,2147.06,1660.70
2022년06월26일,2346.39,2131.16,2149.16,1663.66
2022년06월27일,2349.10,2133.80,2153.00,1667.29
2022년06월28일,2351.48,2137.30,2158.24,1672.61
2022년06월29일,2353.11,2141.09,2163.15,1677.03
2022년06월30일,2355.51,2144.90,2167.66,1680.32
2022년07월01일,2327.44,2128.84,2157.70,1683.93
2022년07월02일,2324.83,2124.75,2155.39,1686.71
2022년07월03일,2324.01,2123.33,2154.46,1687.78
2022년07월04일,2322.96,2120.58,2153.08,1689.74
2022년07월05일,2321.68,2117.18,2150.78,1691.13
2022년07월06일,2319.88,2113.85,2148.59,1692.30
2022년07월07일,2316.62,2108.96,2145.24,1693.65
2022년07월08일,2310.48,2102.49,2140.28,1694.50
2022년07월09일,2306.90,2097.77,2136.65,1694.94
2022년07월10일,2305.53,2095.64,2134.84,1695.35
2022년07월11일,2304.93,2090.82,2131.28,1696.28
2022년07월12일,2299.60,2082.10,2124.27,1695.09
2022년07월13일,2293.48,2073.11,2117.16,1693.58
2022년07월14일,2285.41,2061.81,2108.96,1692.76
2022년07월15일,2276.41,2049.04,2099.72,1691.57
2022년07월16일,2270.01,2038.83,2092.28,1690.19
2022년07월17일,2268.33,2034.36,2088.75,1689.78
2022년07월18일,2265.35,2026.25,2082.11,1689.72
2022년07월19일,2253.39,2013.01,2072.42,1687.99
2022년07월20일,2242.92,2002.16,2063.99,1686.50
2022년07월21일,2234.76,1989.93,2055.28,1684.73
2022년07월22일,2226.83,1977.25,2046.01,1683.77
2022년07월23일,2215.25,1964.60,2036.83,1682.27
2022년07월24일,2211.98,1959.42,2032.61,1681.06
2022년07월25일,2206.64,1948.86,2024.70,1679.99
2022년07월26일,2196.63,1936.63,2015.01,1678.32
2022년07월27일,2188.30,1926.81,2006.74,1676.44
2022년07월28일,2179.14,1916.88,1998.46,1675.04
2022년07월29일,2170.66,1907.31,1991.04,1673.43
2022년07월30일,2165.04,1900.44,1985.32,1671.64
2022년07월31일,2163.57,1897.27,1982.61,1670.73
2022년08월01일,2160.24,1889.82,1976.46,1670.28
2022년08월02일,2155.63,1881.75,1969.64,1668.51
2022년08월03일,2146.24,1874.05,1963.18,1666.70
2022년08월04일,2138.96,1866.41,1956.93,1664.99
2022년08월05일,2131.94,1859.17,1950.56,1663.48
2022년08월06일,2124.43,1852.00,1944.14,1661.11
2022년08월07일,2122.37,1848.83,1941.43,1660.03
2022년08월08일,2119.73,1842.61,1935.96,1658.66
2022년08월09일,2110.12,1834.04,1928.20,1656.06
2022년08월10일,2102.05,1825.12,1920.46,1653.65
2022년08월11일,2094.30,1815.48,1911.58,1651.02
2022년08월12일,2087.40,1805.86,1902.96,1648.07
2022년08월13일,2079.78,1797.86,1895.71,1645.54
2022년08월14일,2077.38,1794.06,1892.04,1644.04
2022년08월15일,2075.25,1789.04,1887.53,1642.26
2022년08월16일,2071.59,1781.36,1880.12,1639.68
2022년08월17일,2063.63,1771.95,1870.89,1635.15
2022년08월18일,2057.27,1764.38,1863.53,1631.67
2022년08월19일,2050.95,1757.86,1857.23,1628.19
2022년08월20일,2046.78,1753.37,1852.84,1625.18
2022년08월21일,2045.18,1751.21,1850.59,1623.73
2022년08월22일,2041.99,1746.84,1846.57,1621.63
2022년08월23일,2038.19,1742.37,1842.27,1619.39
2022년08월24일,2035.49,1739.85,1839.79,1617.61
