,서울,서울,서울,서울,강원도,강원도,강원도,강원도,충청도,충청도,충청도,충청도,전라도,전라도,전라도,전라도,경상도,경상도,경상도,경상도
,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수
index,,,,,,,,,,,,,,,,,,,,
201911,118.294,107.674,108.644,108.265,109.07,106.318,108.266,107.992,93.232,106.692,105.304,104.017,92.338,98.969,104.238,103.257,125.924,97.175,110.055,108.872
201912,114.286,134.966,110.716,114.25,106.889,124.458,108.669,111.688,89.488,152.722,107.615,106.071,101.64,125.322,101.063,101.887,133.507,116.107,112.413,112.135
202001,78.75,136.1,95.567,98.667,90.5,128.5,97.2,101.6,77.167,135.175,93.35,96.0,88.95,127.367,99.133,100.6,77.0,107.8,99.0,99.18
202002,77.1,126.733,90.067,93.167,90.9,104.8,91.1,93.2,79.867,115.575,90.025,91.675,86.95,119.0,93.767,95.167,91.2,105.48,96.04,96.46
202003,106.15,112.5,102.0,102.633,100.0,99.2,111.4,108.9,104.767,103.55,103.575,103.575,101.65,119.6,106.0,106.867,133.525,108.5,112.12,111.84
202004,117.9,90.2,95.767,95.367,104.1,75.3,102.5,98.4,116.467,99.375,94.85,95.075,123.25,103.0,94.367,94.933,95.75,99.92,98.0,98.16
202005,106.75,72.567,93.833,92.167,102.7,85.9,92.8,92.3,112.933,81.075,91.225,90.7,117.1,85.2,89.067,88.967,82.4,93.3,87.5,88.06
202006,112.9,74.8,99.6,97.7,99.0,108.9,96.7,98.7,112.567,83.175,97.65,96.85,116.1,76.533,97.567,96.333,99.825,93.26,95.8,95.78
202007,75.35,79.967,97.4,95.933,96.3,113.2,98.8,100.8,90.7,87.7,100.775,99.975,94.8,77.4,107.3,105.533,100.9,95.5,102.14,101.84
202008,76.05,94.467,93.767,94.167,88.9,128.9,87.9,94.2,74.7,113.0,94.75,95.1,85.7,82.833,95.6,95.0,84.05,99.98,88.3,89.1
202009,104.15,87.333,109.267,107.733,96.8,92.9,103.7,101.6,111.167,95.15,106.6,105.85,96.55,82.3,107.033,105.633,91.0,87.48,103.14,101.48
202010,111.35,75.867,103.833,101.033,108.8,59.0,104.6,97.9,112.9,69.75,103.95,102.05,91.7,92.633,105.267,104.667,107.3,84.64,101.66,100.98
202011,115.2,111.0,105.733,106.3,111.6,84.6,107.5,104.3,106.767,91.225,111.525,110.475,97.25,100.867,102.833,102.7,117.0,102.48,105.46,105.5
