,연도,월,그룹,계약구분,사용량(kWh),전기요금(원),평균판매단가(원/kWh)
91,2015,1,충청도,보건업 및 사회복지 서비스업,73753264.0,8316569843.0,111.9
92,2015,1,충청도,부동산업 및 임대업 ,214927221.0,29041655646.0,135.9
93,2015,1,충청도,"사업시설관리,사업지원서비스업",19093249.0,2614949637.0,136.375
94,2015,1,충청도,숙박 및 음식점업 ,183345372.0,23354624053.0,127.5
95,2015,1,충청도,"예술,스포츠및여가관련서비스업",44986940.0,6132213041.0,141.025
96,2015,1,충청도,운수업,70905862.0,8962400724.0,132.225
97,2015,1,충청도,"전기, 가스, 증기 및 수도사업 ",88711612.0,11850222996.0,126.82499999999999
98,2015,1,충청도,"전문, 과학 및 기술 서비스업 ",72034731.0,8833668045.0,128.725
99,2015,1,충청도,제조업 ,4558029286.0,514009961141.0,115.25
100,2015,1,충청도,"출판영상,방송통신정보서비스업",54591155.0,6647608259.0,122.3
101,2015,1,충청도,하수폐기처리원료재생환경복원,82808561.0,9584087918.0,118.6
102,2015,1,충청도,"협회단체,수리기타개인서비스업",76567615.0,10216074425.0,133.475
103,2015,2,강원도,"가구내고용,미분류자가소비생산",11222.0,1848172.0,164.7
104,2015,2,강원도,건설업 ,20319476.0,2669167843.0,131.4
105,2015,2,강원도,"공공행정, 국방 및 사회보장 행정",54811472.0,6865189690.0,125.3
106,2015,2,강원도,광업 ,27792347.0,3950562246.0,142.1
107,2015,2,강원도,교육 서비스업,36905587.0,4132073879.0,112.0
108,2015,2,강원도,금융 및 보험업 ,6357303.0,844867498.0,132.9
109,2015,2,강원도,"농업, 임업 및 어업 ",44197336.0,2250246521.0,50.9
110,2015,2,강원도,도매 및 소매업,59534631.0,7755140670.0,130.3
111,2015,2,강원도,보건업 및 사회복지 서비스업,24039233.0,2622531949.0,109.1
112,2015,2,강원도,부동산업 및 임대업 ,42522587.0,5693751209.0,133.9
113,2015,2,강원도,"사업시설관리,사업지원서비스업",4543244.0,621788512.0,136.9
114,2015,2,강원도,숙박 및 음식점업 ,101388986.0,12680355496.0,125.1
115,2015,2,강원도,"예술,스포츠및여가관련서비스업",30835980.0,4036033005.0,130.9
116,2015,2,강원도,운수업,16967404.0,2339974320.0,137.9
117,2015,2,강원도,"전기, 가스, 증기 및 수도사업 ",33061519.0,4045786658.0,122.4
118,2015,2,강원도,"전문, 과학 및 기술 서비스업 ",3813958.0,524211387.0,137.4
119,2015,2,강원도,제조업 ,444332030.0,49235007532.0,110.8
